id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_state_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
5761394,f9a99e90-8684-410d-86a9-3359da6856ca,Sun Apr 16 2017 12:02:10 GMT-0600 (MDT),2017-04-16,2017-04-16 18:02:10 UTC,Mountain Time (US & Canada),306834,mbarkdull,Megan Elizabeth Barkdull,2017-04-16 18:32:20 UTC,2024-05-25 20:50:51 UTC,research,,https://www.inaturalist.org/observations/5761394,https://static.inaturalist.org/photos/7151599/medium.jpg,,"",,2,0,false,3,"Wasatch-Cache National Forest, Salt Lake City, UT, US",40.755417389,-111.7885976624,3467,,,,3467,,,false,,,Utah,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
5775542,2fed3d77-91cd-4de6-acd4-415f42f26fee,Sun Apr 16 2017 15:20:21 GMT-0600 (MDT),2017-04-16,2017-04-16 21:20:21 UTC,Mountain Time (US & Canada),452421,janharrissmith,,2017-04-17 01:10:10 UTC,2024-05-25 20:48:44 UTC,research,,https://www.inaturalist.org/observations/5775542,https://static.inaturalist.org/photos/7171711/medium.jpg,,"",Unknown species. Possibly a moth based on antennae. Four prominent white dots on inside wings. ,2,0,false,3,"Mueller Park, Bountiful, UT, US",40.8583,-111.8267216667,,,,,,,,false,,,Utah,Litocala Moth,Litocala sexsignata,Litocala Moth,Insecta,343234
5973709,06d6fb31-fa20-43ce-96ff-dba499bee936,Wed Apr 26 2017 15:28:45 GMT-0600 (MDT),2017-04-26,2017-04-26 21:28:45 UTC,Mountain Time (US & Canada),37587,hannawacker,Robb Hannawacker,2017-04-26 23:14:26 UTC,2024-05-25 20:49:39 UTC,research,CC0,https://www.inaturalist.org/observations/5973709,https://inaturalist-open-data.s3.amazonaws.com/photos/7465992/medium.jpg,,"",,2,0,false,3,"Grand County, US-UT, US",39.0684880084,-109.6994069127,50,,,,50,,,false,,,Utah,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
6147664,3407a39f-241b-4c27-9b53-33d0226a3b35,Sun May 07 2017 14:45:41 GMT-0700 (PDT),2017-05-07,2017-05-07 21:45:41 UTC,Pacific Time (US & Canada),315756,ckjannabirds,Courtney Kelly Jett,2017-05-09 04:24:08 UTC,2024-05-25 19:12:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6147664,https://inaturalist-open-data.s3.amazonaws.com/photos/7705376/medium.jpg,,"","",1,0,false,3,"Dark Lake, Deschutes National Forest, Camp Sherman, OR, US",44.4055833333,-121.7538533333,,,,,,,,false,,,Oregon,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
6525158,22290cf3-568f-4070-b8e1-f31dfff0e0f7,2017/06/05 12:34 PM PDT,2017-06-05,2017-06-05 19:34:00 UTC,Pacific Time (US & Canada),9335,leslie_flint,Leslie Flint,2017-06-06 19:30:24 UTC,2024-05-28 01:25:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6525158,https://inaturalist-open-data.s3.amazonaws.com/photos/8266024/medium.jpg,,"",,1,0,false,,"Tuolumne County, CA, USA",38.3114909124,-119.7647094727,3906,,,,3906,,,false,,,California,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
6525400,93ced6b6-aee4-4c39-9377-2d79663ad0d5,2017/06/05 2:49 PM PDT,2017-06-05,2017-06-05 21:49:00 UTC,Pacific Time (US & Canada),9335,leslie_flint,Leslie Flint,2017-06-06 19:56:43 UTC,2024-05-28 01:25:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6525400,https://inaturalist-open-data.s3.amazonaws.com/photos/8266677/medium.jpg,,"",,2,0,false,,"Tuolumne County, CA, USA",38.3086622738,-119.7465991974,122,,,,122,,,false,,,California,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
6535411,8736eb6a-c073-4a15-bb50-cdba856ed8cf,Mon Jun 05 2017 12:34:35 GMT-0700 (PDT),2017-06-05,2017-06-05 19:34:35 UTC,Pacific Time (US & Canada),13979,robberfly,Liam O'Brien,2017-06-07 15:39:30 UTC,2024-05-28 01:25:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6535411,https://inaturalist-open-data.s3.amazonaws.com/photos/8281571/medium.jpg,,"",,2,0,false,3,"Stanislaus National Forest, Pinecrest, CA, US",38.3164533333,-119.747345,,,,,,,,false,,,California,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
6748185,7734a956-d25c-4ed8-a7e1-f233018c0c8f,2017/06/15 1:42 PM PDT,2017-06-15,2017-06-15 20:42:00 UTC,Pacific Time (US & Canada),18189,jzzipkin,Janet Zipser Zipkin,2017-06-21 23:23:45 UTC,2024-05-28 00:56:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6748185,https://inaturalist-open-data.s3.amazonaws.com/photos/8571349/medium.jpeg,,"",,2,0,false,,"Nevada County, CA, USA",39.3199027778,-120.3087,,,,,,,,false,,,California,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
7004935,3e49af71-188a-45e1-a931-0a21e58a3d45,2017/06/29 5:19 PM PDT,2017-06-29,2017-06-30 00:19:00 UTC,Pacific Time (US & Canada),21370,euproserpinus,Paul G. Johnson,2017-07-11 00:11:53 UTC,2024-05-26 18:37:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7004935,https://inaturalist-open-data.s3.amazonaws.com/photos/8975067/medium.jpg,,"",,1,0,false,,"Plumas County, CA, USA",40.0123196812,-120.8248901375,73,,,,73,,,false,,,California,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
8503118,b6560da9-3177-4faf-ae90-f9c9a1dcbd15,2017/03/07 4:13 PM EST,2017-03-07,2017-03-07 21:13:00 UTC,Eastern Time (US & Canada),203013,thomashulsey,Aaron Hulsey,2017-10-22 12:58:57 UTC,2024-05-28 17:55:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8503118,https://inaturalist-open-data.s3.amazonaws.com/photos/11345865/medium.jpeg,,"",,1,0,false,,"Santa Barbara County, CA, USA",34.0055366253,-119.7520056384,122,,,,122,,,false,,,California,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
9154135,a91869c2-19e7-426b-b70b-f4ca366bdfe6,2012/04/07 12:31 PM PDT,2012-04-07,2012-04-07 19:31:00 UTC,Pacific Time (US & Canada),10326,natureali,Nature Ali,2017-12-14 16:07:02 UTC,2024-05-28 00:47:57 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/9154135,https://inaturalist-open-data.s3.amazonaws.com/photos/12378177/medium.jpeg,,"",,1,0,false,,"Kern County, CA, USA",35.6201297947,-118.0343735217,,,,,,,,false,,,California,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
9352439,66b99cb5-a12b-4978-bc39-a01b888f68ec,Tue Jun 27 2017 11:48:27 GMT-0700 (PDT),2017-06-27,2017-06-27 18:48:27 UTC,Pacific Time (US & Canada),21370,euproserpinus,Paul G. Johnson,2018-01-03 06:08:56 UTC,2024-07-08 19:36:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9352439,https://inaturalist-open-data.s3.amazonaws.com/photos/12693197/medium.jpg,,"",,1,0,false,3,"Modoc National Forest, Tulelake, CA, US",41.5698104777,-121.4981739339,742,,,,742,,,false,,,California,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
9606915,c7df4dce-3186-4679-8236-47e5ee157536,2007/05/17 ,2007-05-17,,Pacific Time (US & Canada),224597,twillrichardson,Will Richardson,2018-01-25 02:22:18 UTC,2024-05-02 14:59:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9606915,https://inaturalist-open-data.s3.amazonaws.com/photos/13106916/medium.jpg,,"",,2,0,false,,"Kingsbury, NV, USA",38.9613439976,-119.8910951651,750,,,,750,,,false,,,Nevada,Litocala Moth,Litocala sexsignata,Litocala Moth,Insecta,343234
9849050,b841a60e-dae7-4e4d-bf01-fced59fdcaf0,2014/03/19 8:50 AM PDT,2014-03-19,2014-03-19 15:50:00 UTC,Pacific Time (US & Canada),17695,graysquirrel,Krissa Klein,2018-02-13 18:06:52 UTC,2023-07-06 19:30:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9849050,https://inaturalist-open-data.s3.amazonaws.com/photos/13488858/medium.jpeg,,"","",1,0,false,,"Lake County, CA, USA",39.1425762051,-123.0757141113,1347,,,,1347,,,false,,,California,Litocala Moth,Litocala sexsignata,Litocala Moth,Insecta,343234
