id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,created_at,url,image_url,latitude,longitude,private_latitude,private_longitude,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
111486150,3af5ab01-3160-48aa-a1c0-3209900a28e3,2022/04/13 2:39 PM EDT,2022-04-13,2022-04-13 18:39:00 UTC,Eastern Time (US & Canada),2022-04-15 03:26:24 UTC,https://www.inaturalist.org/observations/111486150,https://inaturalist-open-data.s3.amazonaws.com/photos/188208006/medium.jpg,39.8703770398,-75.5937310108,,,Delaware,Taurus Mason Bee,Osmia taurus,Taurus Mason Bee,Insecta,461507
111765263,315a5a13-94c3-40ca-8d4f-91ca2d5dcb39,2022-04-16 12:58:38-04:00,2022-04-16,2022-04-16 16:58:38 UTC,Atlantic Time (Canada),2022-04-17 11:14:52 UTC,https://www.inaturalist.org/observations/111765263,https://inaturalist-open-data.s3.amazonaws.com/photos/188717214/medium.jpg,40.0049861167,-75.2564916667,,,Montgomery,Horn-faced Mason Bee,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
111871962,88bf1396-0f26-42cd-a55d-17b2615636d2,2022-04-14 10:10:16,2022-04-14,2022-04-14 14:10:16 UTC,Eastern Time (US & Canada),2022-04-18 01:47:41 UTC,https://www.inaturalist.org/observations/111871962,https://inaturalist-open-data.s3.amazonaws.com/photos/188908177/medium.jpeg,40.0137637997,-75.1908779997,,,Philadelphia,Bufflehead Mason Bee,Osmia bucephala,Bufflehead Mason Bee,Insecta,199125
112205523,450ebb09-cd7e-4fad-b8d3-09c23427b3c3,2022/04/20 1:32 PM,2022-04-20,2022-04-20 17:32:00 UTC,Eastern Time (US & Canada),2022-04-20 22:33:56 UTC,https://www.inaturalist.org/observations/112205523,https://static.inaturalist.org/photos/189512437/medium.jpg,39.9020565,-75.3499123,,,Delaware,Horn-faced Mason Bee,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
112205527,fb0826f8-052e-42e6-9f0e-dd2e12342d21,2022/04/20 1:36 PM,2022-04-20,2022-04-20 17:36:00 UTC,Eastern Time (US & Canada),2022-04-20 22:33:57 UTC,https://www.inaturalist.org/observations/112205527,https://static.inaturalist.org/photos/189512482/medium.jpg,39.9020565,-75.3499123,,,Delaware,Blue Orchard Bee,Osmia lignaria,Blue Orchard Bee,Insecta,121507
112503998,6a8c3b59-f1af-456b-945d-72bcb0459003,2022-04-22 13:12:59-04:00,2022-04-22,2022-04-22 17:12:59 UTC,Eastern Time (US & Canada),2022-04-23 12:31:26 UTC,https://www.inaturalist.org/observations/112503998,https://inaturalist-open-data.s3.amazonaws.com/photos/190030813/medium.jpg,40.4640283444,-79.9335315723,,,Allegheny,Horn-faced Mason Bee,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
113142128,df0301bb-ba9e-4e73-a44b-cf7b4c4c7660,2022/04/24 10:20 AM,2022-04-24,2022-04-24 14:20:00 UTC,Eastern Time (US & Canada),2022-04-27 21:22:00 UTC,https://www.inaturalist.org/observations/113142128,https://inaturalist-open-data.s3.amazonaws.com/photos/191162091/medium.jpeg,39.992336,-75.917467,,,Chester,Bufflehead Mason Bee,Osmia bucephala,Bufflehead Mason Bee,Insecta,199125
113144386,d3e935a4-8c1d-4826-a47f-14a96705ef3b,2022-04-22 15:42:20-04:00,2022-04-22,2022-04-22 19:42:20 UTC,Eastern Time (US & Canada),2022-04-27 21:40:42 UTC,https://www.inaturalist.org/observations/113144386,https://static.inaturalist.org/photos/191167380/medium.jpg,40.2472883333,-75.8549116667,,,Berks,Horn-faced Mason Bee,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
113476457,a0623d20-02dc-458f-be4d-6866c8b1b974,2022-04-29 13:25:25,2022-04-29,2022-04-29 17:25:25 UTC,Eastern Time (US & Canada),2022-04-29 17:28:50 UTC,https://www.inaturalist.org/observations/113476457,https://inaturalist-open-data.s3.amazonaws.com/photos/191711363/medium.jpeg,40.4530972236,-79.8245178212,,,Allegheny,Horn-faced Mason Bee,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
113515135,0b056342-4bde-4e6c-99da-fe321b74064b,2022-04-29 15:00:39-04:00,2022-04-29,2022-04-29 19:00:39 UTC,Eastern Time (US & Canada),2022-04-29 19:14:52 UTC,https://www.inaturalist.org/observations/113515135,https://inaturalist-open-data.s3.amazonaws.com/photos/191772212/medium.jpg,40.3289416667,-76.7307583333,,,Dauphin,Horn-faced Mason Bee,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
113835804,c01afc53-27c3-45b2-8db7-66153c835f5b,2022-04-30 11:39:38,2022-04-30,2022-04-30 15:39:38 UTC,Eastern Time (US & Canada),2022-04-30 15:45:15 UTC,https://www.inaturalist.org/observations/113835804,https://static.inaturalist.org/photos/192285112/medium.jpeg,42.0355970577,-80.2604192868,,,Erie,Mason Bees,Osmia,Mason Bees,Insecta,57674
